cell_name,cohort,has_c1_chg,has_c5_chg,has_c1_dis,has_c5_dis,dop_ok_c1_chg,dop_ok_c5_chg,dop_ok_c1_dis,dop_ok_c5_dis,fit_time_s_total,n_features_success,error_msg
AR4193,AR,true,true,true,true,true,true,true,true,6.935678277164698,6,""
AR4194,AR,true,true,true,true,true,true,true,true,8.43817400932312,6,""
AR4195,AR,true,true,true,true,true,true,true,true,8.837376106530428,6,""
AR4197,AR,true,true,true,true,true,true,true,true,9.182620070874691,6,""
AR4198,AR,true,true,true,true,true,true,true,true,4.848523288965225,6,""
AR4199,AR,true,true,true,true,true,true,true,true,8.481924876570702,6,""
AR4201,AR,true,true,true,true,true,true,true,true,4.9374242797493935,6,""
AR4216,AR,true,true,true,true,true,true,true,true,5.5601502135396,6,""
AR4217,AR,true,true,true,true,true,true,true,true,6.037463564425707,6,""
AR4229,AR,true,true,true,true,true,true,true,true,9.53728798404336,6,""
AR4230,AR,true,true,true,true,true,true,true,true,10.105588428676128,6,""
AR4231,AR,true,true,true,true,true,true,true,true,9.231862537562847,6,""
AR4232,AR,true,true,true,true,true,true,true,true,5.038122456520796,6,""
AR4233,AR,true,true,true,true,true,true,true,true,8.08325371146202,6,""
AR4234,AR,false,false,false,false,false,false,false,false,0.0,0,missing regular cycle: cd1=None cd5=None
AR4239,AR,true,true,true,true,true,true,true,true,6.386980626732111,6,""
AR4240,AR,true,true,true,true,true,true,true,true,11.95110534876585,6,""
AR4242,AR,true,true,true,true,true,true,true,true,5.95046104863286,6,""
AR4244,AR,true,true,true,true,true,true,true,true,11.186321090906858,6,""
AR4246,AR,true,true,true,true,true,true,true,true,9.458139307796955,6,""
AR4255,AR,true,true,true,true,true,true,true,true,9.566623542457819,6,""
