seed,N,feature_set,cell_name,cohort,y_true,y_prob,y_pred
0,400,fs_a_only,AR4313,AR,0,0.16242671137762862,0
0,400,fs_a_only,0MC8-251113-R001,0MC,1,0.578302458758376,1
0,400,fs_a_only,R1355_AMY25R1355ST1,AR,1,0.3155873600674945,0
0,400,fs_a_only,AR4433,AR,0,0.27614788777929083,0
0,400,fs_a_only,AR4292,AR,0,0.18962429012688584,0
0,400,fs_a_only,AR4439,AR,0,0.900433389432617,1
0,400,fs_a_only,AR3917,AR,1,0.724075039693105,1
0,400,fs_a_only,AR4102,AR,1,0.8474070620607019,1
0,400,fs_a_only,AR4262,AR,0,0.036395742413040603,0
0,400,fs_a_only,AR3985,AR,0,0.2978510123614924,0
0,400,fs_a_only,AR4164,AR,0,0.54614180323203,1
0,400,fs_a_only,0MC20-251126-R002,0MC,0,0.069542445928213,0
0,400,fs_a_only,AR3774,AR,1,0.7240710639228716,1
0,400,fs_a_only,AR4593,AR,0,0.4392268113787886,0
0,400,fs_a_only,AR3974,AR,0,0.13060486523771933,0
0,400,fs_a_only,0MC6-260119-R001,0MC,0,0.5616826682232992,1
0,400,fs_a_only,AR4256,AR,1,0.927134666541822,1
0,400,fs_a_only,AR4162,AR,0,0.6974382037220738,1
0,400,fs_a_only,AR4581,AR,0,0.9115299157884743,1
0,400,fs_a_plus_cap_c5,AR3918,AR,1,0.8674865187652785,1
0,400,fs_a_plus_cap_c5,AR4306,AR,0,0.1563297020598392,0
0,400,fs_a_plus_cap_c5,AR4144,AR,0,0.9099347147539274,1
0,400,fs_a_plus_cap_c5,AR3923,AR,1,0.9229248431723651,1
0,400,fs_a_plus_cap_c5,AR3977,AR,0,0.11083256510494154,0
0,400,fs_a_plus_cap_c5,AR3964,AR,1,0.8461198802718395,1
0,400,fs_a_plus_cap_c5,AR3973,AR,0,0.11409291706321134,0
0,400,fs_a_plus_cap_c5,AR3982,AR,0,0.18179789210120656,0
0,400,fs_a_plus_cap_c5,AR4123,AR,0,0.010676223935326022,0
0,400,fs_a_plus_cap_c5,AR3870,AR,1,0.21549954585321474,0
0,400,fs_a_plus_cap_c5,AR4271,AR,1,0.7667771945316082,1
0,400,fs_a_plus_cap_c5,AR4198,AR,1,0.35494129817307635,0
0,400,fs_a_plus_cap_c5,AR4042,AR,1,0.9114316650598916,1
0,400,fs_a_plus_cap_c5,AR4098,AR,1,0.9322909623629719,1
0,400,fs_a_plus_cap_c5,AR4184,AR,1,0.9256786749348803,1
0,400,fs_a_plus_cap_c5,AR3993,AR,0,0.7670572877376914,1
0,400,fs_a_plus_cap_c5,AR3941,AR,1,0.7163427768020844,1
0,400,fs_a_plus_cap_c5,AR-3422,AR,1,0.6012486624981607,1
0,400,fs_a_plus_cap_c5,AR3951,AR,1,0.7937700823817472,1
0,400,fs_a_plus_cap_c5,AR4432,AR,0,0.015169527831479068,0
0,400,fs_a_plus_cap_c5,AR3883,AR,1,0.7362831946744203,1
0,400,fs_a_plus_cap_c5,AR4055,AR,1,0.8116991373705827,1
0,400,fs_a_plus_cap_c5,AR4412,AR,0,0.1580531019137201,0
