cell_name,cohort,dqv_norm_c5_c1_var_log10,dqv_norm_c5_c1_min,dqv_norm_c5_c1_mean,dqv_norm_c5_c1_skew
0MC2-251120-007,0MC,-5.042403659517097,-0.015096207674898103,-0.009001679804891022,-0.46695070965426133
0MC2-251125-005,0MC,-4.517875909547153,-0.028383753223093805,-0.01571156698535159,-0.8911593486288055
0MC2-251125-009,0MC,-4.734685552593122,-0.025558109694277503,-0.015573120845051707,-0.5494410380309948
0MC2-251125-012,0MC,-4.898097617539241,-0.0223418206432301,-0.014406886605695357,-0.29393075236823885
0MC2-251202-007,0MC,-4.29057223805404,-0.033589883040720206,-0.016424712336896054,-0.7724508758243592
0MC2-251202-010,0MC,-4.455569602943044,-0.030450930025559767,-0.01601997267073585,-0.8767637098683384
0MC2-251205-010,0MC,-4.840790755865595,-0.007656015661288985,-0.00011263467505445687,0.6170101939308272
0MC2-251216-014,0MC,-5.544088732812312,-0.009973370762990586,-0.005735244963933718,-0.5981600939902784
0MC2-251216-019,0MC,-5.38938412162906,-0.01312748272152889,-0.00865915319365976,0.8918937344115544
0MC2-251216-020,0MC,-5.517327132053805,-0.010047057068718742,-0.0058353439837665715,0.26160186239106853
0MC2-251216-023,0MC,-3.9177269603050964,-0.08362459365922136,-0.06350282617459625,0.9925997040051596
0MC2-251222-001,0MC,-5.00798288307898,-0.011986636631568936,-0.0073341830875117715,0.006768443599010681
0MC2-251222-002,0MC,-3.6180777863777105,-0.04268371982366554,-0.026166166917296677,0.20333743404304844
0MC2-251222-004,0MC,-4.411406368949853,-0.01782125550660313,-0.009352787967922516,-0.11652326365667011
0MC2-251222-005,0MC,-4.645871840912901,-0.012637432535546608,-0.006493413943311649,0.5743012012186115
0MC2-251222-006,0MC,-5.369097711934193,-0.004992613488353675,-0.002501170482409929,0.8036489378644804
0MC2-260120-014,0MC,-5.108883104887736,-0.01279377306984474,-0.008084216680877889,-0.5002320853333075
0MC2-260312-026,0MC,-4.7306603064369455,-0.02698822695530895,-0.01573447780874361,-0.3418179221225939
0MC20-250703-R002,0MC,-3.4697671826379852,-0.08756946111135344,-0.06035571571882078,-0.2227587879697093
0MC20-251121-R001,0MC,-4.722477534177395,-0.02693077229292669,-0.01755014312351405,-0.14178760798212528
0MC20-251126-R001,0MC,-4.6256369765781935,-0.03204567826943847,-0.019677922253036165,-0.25243275907888363
0MC20-251126-R002,0MC,-4.236950567762937,-0.04466171363171643,-0.028442450360015945,0.14455928363731774
0MC20-251126-R003,0MC,-4.102099061439399,-0.04958029322639,-0.03309077448979847,0.2328004629291626
0MC20-251204-R001,0MC,-4.51647180391598,-4.323545615611343e-6,0.014586723210446403,-1.0553382564417697
0MC20-251209-R001,0MC,-4.95082473773451,0.00012271204891473926,0.011519247271269933,-1.268493542873176
0MC20-251216-R002,0MC,-5.105675084110757,-0.012150123883145705,-0.0042211555544868894,-1.35314397271891
0MC20-251216-R003,0MC,-4.578684427699397,0.0006108648793660831,0.02398626303494134,-2.2483426647052993
0MC20-260128-R001,0MC,-4.915891582251556,-0.019075492172927904,-0.008623875252992075,-1.3927407917628334
0MC20-260129-R001,0MC,-5.124621169837109,-0.01554636426737805,-0.00808151618180327,-1.0492007755881185
0MC20-260203-R001,0MC,-5.279948739574296,-0.01670763997647875,-0.011141842241881049,0.8394955218617096
0MC40-260115-R001,0MC,-5.083975218682536,-0.016405777847780502,-0.006662115456014023,-1.5538383796048574
0MC40-260206-R001,0MC,-4.460923310801274,0.000042512051194292805,0.006386224114151417,0.8308930860286377
0MC40-260216-R001,0MC,NaN,NaN,NaN,NaN
0MC40-260225-R001,0MC,-5.169613961187946,-0.014057896040619555,-0.01045934102406779,0.9544382237120489
0MC40-260226-R001,0MC,-4.457295374502996,-0.02276588142787386,-0.014422430170565494,0.01094529469555933
0MC6-260107-R002,0MC,-4.584905810915084,-0.046812968664782614,-0.03543844930108583,1.2397543365113362
0MC6-260107-R003,0MC,-3.7773407770038356,-0.05462707962779814,-0.030785907342805556,0.3040657650394106
0MC6-260107-R004,0MC,-5.263380151348397,-0.007594325400776541,-0.002262364677295781,0.27343690933693515
0MC6-260107-R005,0MC,-4.892914219820145,-0.011353956600284187,-0.0035353711502630154,0.3979948597059575
0MC6-260107-R006,0MC,-5.193991039190844,-0.009108489293695968,-0.005138469896627167,0.5465246446093492
0MC6-260107-R007,0MC,-4.893228040543389,-0.009274390240279096,-0.004254209092892904,0.8778728454966722
0MC6-260107-R008,0MC,-4.248796179619767,-0.03686764506283252,-0.021263936153290208,-0.1119949309504893
0MC6-260107-R009,0MC,-4.263337880176268,-0.03404846202265781,-0.019523202321995847,-0.14749387772449332
0MC6-260108-R001,0MC,-4.371915293759368,-0.028130831834947325,-0.012902490272383998,-0.6876916414422344
0MC6-260119-R001,0MC,-4.217810052486976,-0.03331921699777664,-0.015611497157143136,-0.6338476756626455
0MC6-260119-R002,0MC,-5.093353206078259,-0.011092578395080401,-0.00343905251369898,-0.5451536609659975
0MC6-260119-R003,0MC,-5.12138464517311,-0.012241615644708543,-0.005053993634257891,-1.1683720036939378
0MC6-260119-R004,0MC,-5.1329355176214015,-0.014000968519690083,-0.0064124564755249774,-1.1574531173704257
0MC6-260119-R005,0MC,-5.282315756436759,-0.012863467598857557,-0.006890358653547483,-0.39925608626514825
0MC6-260119-R006,0MC,-4.23964488347429,-0.03016978359082286,-0.012617019694113198,-0.6265704498119437
0MC6-260120-R006,0MC,-4.927609867974214,-0.012112610653990354,-0.00835620775203526,0.5522748172903623
0MC6-260121-R001,0MC,-5.000884193904401,-0.015260719237779245,-0.006860154367453046,-1.0689345021601104
0MC6-260121-R002,0MC,-4.83008396124274,-0.017891280713807196,-0.007834266153636419,-1.274749930382997
0MC6-260121-R003,0MC,-4.967185081250588,-0.015742673910234907,-0.007301433496047251,-1.1888002121013417
0MC6-260121-R004,0MC,-4.838512465302622,-0.015124107740049152,-0.005123662508048403,-1.2587841399189543
0MC6-260122-R004,0MC,-4.920277921697514,-0.02018651611174594,-0.010715638304969195,-1.0072292915762253
0MC6-260122-R005,0MC,-4.900741039810934,-0.019431290087429016,-0.009361300559021091,-1.407134512150025
0MC6-260122-R006,0MC,-4.768289017933179,-0.013926643267473619,-0.004329258118540208,-1.0014598191376447
0MC6-260123-R003,0MC,-4.773104874856045,-0.01307191045904672,-0.005374792233439373,-0.3372346173472385
0MC6-260123-R004,0MC,-5.015437427161554,-0.01919239058465632,-0.010337169550020982,-0.8788699006451458
0MC6-260123-R006,0MC,-4.777554169748236,-0.02066591867767099,-0.009402898985492993,-1.359785161667358
0MC6-260123-R007,0MC,-4.499584543999891,-0.026331078232042036,-0.011966443142176191,-1.0870898529177555
0MC6-260127-R002,0MC,-4.688275007070121,-0.022719371764684575,-0.011280813668418955,-1.0610424644693686
0MC6-260127-R003,0MC,-4.776608986909058,-0.022241792447274544,-0.011388327744101893,-1.1562454177752515
0MC6-260127-R005,0MC,-5.3099590020518725,-0.012739090068031159,-0.007949446788461203,0.38722385164856826
0MC6-260209-R001,0MC,-4.651801935925481,-0.02022408258787394,-0.009861970159586985,-0.7130515283104623
0MC6-260211-R002,0MC,-4.363292408990932,-0.01756497850199723,-0.0064567589664009115,-0.48906476240186364
