cell_name,cohort,dop_peak_theta_c1_chg,dop_peak_theta_c5_chg,dop_peak_theta_c1_dis,dop_peak_theta_c5_dis,dop_peak_theta_shift_chg_c1c5,dop_peak_theta_shift_dis_c1c5
AR3962,AR,52.02,47.52,63.17999999999999,65.34,-4.5,2.160000000000011
AR3963,AR,52.02,47.88,56.34,57.78,-4.140000000000001,1.4399999999999977
AR3964,AR,49.68000000000001,47.52,54.18,56.34,-2.1600000000000037,2.1600000000000037
AR3966,AR,49.86000000000001,47.88,63.17999999999999,65.34,-1.980000000000004,2.160000000000011
AR3967,AR,50.040000000000006,47.52,60.839999999999996,63.17999999999999,-2.520000000000003,2.3399999999999963
AR3968,AR,50.400000000000006,47.88,67.68,65.52,-2.520000000000003,-2.160000000000011
AR3970,AR,60.75000000000001,49.68000000000001,58.67999999999999,60.839999999999996,-11.07,2.1600000000000037
AR3971,AR,52.739999999999995,47.52,67.68,67.68,-5.219999999999992,0.0
AR3972,AR,52.02,52.2,67.68,65.52,0.17999999999999972,-2.160000000000011
AR3973,AR,43.019999999999996,56.52,47.52,49.68000000000001,13.500000000000007,2.1600000000000037
AR3974,AR,43.019999999999996,52.02,47.52,47.52,9.000000000000007,0.0
AR3975,AR,45.18,49.86000000000001,56.34,56.34,4.680000000000007,0.0
AR3976,AR,45.18,47.7,63.17999999999999,63.17999999999999,2.520000000000003,0.0
AR3977,AR,54.18,70.56,54.18,54.18,16.380000000000003,0.0
AR3978,AR,57.06,65.7,64.44,58.67999999999999,8.64,-5.760000000000005
AR3979,AR,54.9,69.48,60.48,56.52,14.580000000000005,-3.9599999999999937
AR3980,AR,54.36,74.25,65.34,67.68,19.89,2.3400000000000034
AR3981,AR,56.52,72.0,60.839999999999996,65.34,15.479999999999997,4.500000000000007
AR3982,AR,58.85999999999999,74.25,63.17999999999999,61.019999999999996,15.390000000000008,-2.1599999999999966
AR3983,AR,54.18,69.75,61.019999999999996,59.75999999999999,15.57,-1.2600000000000051
AR3985,AR,59.21999999999999,76.32,65.34,63.54,17.1,-1.8000000000000043
