model,task,feature_subset,N,baseline_cycle,n_seeds,n_rows,run_dir,metric,value
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv,test_c_index_std,0.021331097502515613
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv,test_auc_at_200_mean,0.9211822117276662
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv,test_auc_at_200_std,0.03183018505717356
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv,test_auc_at_300_mean,0.8787809533222287
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv,test_auc_at_300_std,0.04829898979658872
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv,test_auc_at_400_mean,0.860654460147023
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv,test_auc_at_400_std,0.04372797425533471
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,n_rows,415.0
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,n_seeds,1.0
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,test_c_index_mean,0.8067484662576687
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,test_c_index_std,
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,test_auc_at_200_mean,0.9108391608391608
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,test_auc_at_200_std,
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,test_auc_at_300_mean,0.8803827751196172
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,test_auc_at_300_std,
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,test_auc_at_400_mean,0.8956521739130434
rsf,survival,fs_cv,300,1,1,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T185357Z,test_auc_at_400_std,
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T193229Z,n_rows,415.0
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T193229Z,n_seeds,5.0
rsf,survival,fs_cv,300,1,5,415,out/runs/survival/rsf__survival__N300__A2.2_b1__fs_cv__20260516T193229Z,test_c_index_mean,0.801276500298774
