cell_name,cohort,dqdv_peak_v_c5_dis,dqdv_peak_v_shift_c1c5_dis,dqdv_charge_discharge_hysteresis_c5,dqdv_cosine_sim_c1c5_dis
0MC6-260212-R009,0MC,3.617989999999877,-0.0017199999999997218,0.20402000000009313,0.9989516973205489
0MC6-260213-R001,0MC,3.604699999999878,-0.0030999999999998806,0.2325000000000954,0.998484891009466
0MC6-260213-R006,0MC,3.6208899999998767,-0.007039999999999047,0.2086000000000947,0.9983787898111437
0MC6-260218-R002,0MC,3.6019999999998786,-0.016899999999997473,0.21250000000008828,0.9958049070161858
0MC6-260218-R003,0MC,3.605499999999878,-0.00879999999999903,0.2309000000000938,0.9983565526276071
0MC6-260218-R004,0MC,3.5942999999998793,-0.01079999999999881,0.2546000000000981,0.9981343808103885
0MC6-260218-R005,0MC,3.6000999999998786,-0.013499999999998735,0.2143000000000872,0.9960826989037329
0MC6-260218-R006,0MC,3.595399999999879,-0.028999999999996806,0.21830000000008676,0.9962087786005812
0MC6-260303-R001,0MC,3.5849999999998805,0.0029999999999996696,0.27360000000007956,0.9988217855507288
0MC6-260303-R001_from_db,0MC,3.5849999999998805,0.0029999999999996696,0.27360000000007956,0.9988217855507288
0MC6-260303-R002,0MC,3.5898999999998797,-0.010899999999999022,0.25270000000008386,0.998714077249711
0MC6-260303-R003,0MC,3.572999999999882,-0.036899999999995714,0.28890000000007854,0.9975546972607728
0MC6-260303-R004,0MC,3.599999999999879,-0.007999999999999119,0.2405000000000963,0.9987105640202876
0MC6-260303-R005,0MC,3.5829999999998807,-0.0217999999999976,0.25390000000009394,0.9985004571826112
0MC6-260303-R006,0MC,3.570999999999882,-0.0217999999999976,0.2770000000000792,0.9988360724639177
0MC6-260305-R001,0MC,3.616999999999877,0.007999999999999119,0.21330000000009752,0.9987325597416756
0MC6-260316-R002,0MC,3.598999999999879,-0.02079999999999771,0.24020000000009434,0.9988966313186033
0MC6-260317-R001,0MC,3.6116299999998773,-0.02214999999999767,0.08762000000009706,0.9923764132270784
0MC6-260317-R005,0MC,3.623999999999876,0.013029999999998765,0.17135000000011136,0.996797962885454
0MC6-260317-R007,0MC,3.5938999999998793,-0.0036999999999998145,0.23720000000009644,0.9994767305935432
0MC6-260317-R008,0MC,3.597199999999879,0.011599999999998722,0.2280000000000979,0.9994899137633716
0MC6-260319-R001,0MC,3.579899999999881,-0.02189999999999781,0.266400000000079,0.9991043380098071
0MC6-260319-R002,0MC,3.5847999999998805,-0.020199999999997775,0.24280000000009183,0.9992051043040218
0MC6-260323-R006,0MC,3.6209999999998765,0.08699999999999042,0.2052000000000942,0.7648128482399177
0MC6-260323-R007,0MC,3.6209999999998765,0.08699999999999042,0.19914000000009757,0.7854951665897951
0MC6-260323-R008,0MC,3.6129999999998774,0.046999999999994824,0.19351000000009888,0.7853063755484158
0MC6-260325-R003,0MC,3.606999999999878,-0.002100000000007096,0.2015600000000819,0.9979295396601245
0MC6-260402-R001,0MC,3.581689999999881,0.008999999999999009,0.20314000000009358,0.9993088066173953
0MC6-260402-R002,0MC,3.5908999999998796,0.009999999999998899,0.20450000000008872,0.9997307460120995
0MC6-260402-R003,0MC,3.6129999999998774,0.008399999999999075,0.16860000000009423,0.999679836066595
0MC6-260402-R004,0MC,3.6109999999998776,0.0,0.17770000000009345,0.9993376498889575
0MC6-260402-R005,0MC,3.5859999999998804,0.00509999999999966,0.20520000000008576,0.9994672342106771
0MC6-260402-R006,0MC,3.616999999999877,0.0,0.17550000000009058,0.9996300945480842
