w_rsf,w_xgb_aft,w_lifelines_cox,w_lifelines_weibull_aft,c_mean,c_std
0.0,0.6000000000000001,0.1,0.30000000000000004,0.7685751502487115,0.027485953446229165
0.0,0.30000000000000004,0.7000000000000001,0.0,0.7684276125482732,0.027095907138286163
0.0,0.2,0.8,0.0,0.768425337463185,0.027111730660464604
0.0,0.7000000000000001,0.1,0.2,0.7683551569324073,0.02626051561324915
0.0,0.7000000000000001,0.2,0.1,0.7681720673377744,0.029363900348381294
0.0,0.4,0.1,0.5,0.7680499014134436,0.029443802423961798
0.0,0.6000000000000001,0.4,0.0,0.7679779006933662,0.026747548055370107
0.0,0.5,0.0,0.5,0.767851136378255,0.02519003467305559
0.0,0.8,0.2,0.0,0.7678259250094758,0.026626638625575835
0.0,0.5,0.5,0.0,0.7678259250094758,0.026626638625575835
0.0,0.4,0.0,0.6000000000000001,0.7677026558964519,0.02544906050966562
0.0,0.30000000000000004,0.5,0.2,0.7676085917952787,0.028727875974346184
0.0,0.4,0.5,0.1,0.7675727343298806,0.028468948308280503
0.0,0.5,0.1,0.4,0.7675341247521021,0.027465230014056555
0.0,0.7000000000000001,0.30000000000000004,0.0,0.7675242487267828,0.026394340685562345
0.0,0.4,0.6000000000000001,0.0,0.7675234602360442,0.026472922567772155
0.0,0.2,0.7000000000000001,0.1,0.7674589792415876,0.028735293356513723
0.0,0.5,0.2,0.30000000000000004,0.7674582811379767,0.02854991899153873
0.0,0.4,0.30000000000000004,0.30000000000000004,0.7674536405806727,0.028810889213927875
0.0,0.5,0.30000000000000004,0.2,0.7674473459380924,0.029096070397586056
0.0,0.30000000000000004,0.6000000000000001,0.1,0.7674303786577148,0.028692591899100124
0.0,0.6000000000000001,0.30000000000000004,0.1,0.767409213387606,0.029093250353960043
0.0,0.4,0.4,0.2,0.7673107652371348,0.028764648157097512
0.0,0.30000000000000004,0.30000000000000004,0.4,0.7671575561529164,0.029122765124576705
0.1,0.0,0.5,0.4,0.7670449945907334,0.02141994562641378
0.0,0.6000000000000001,0.2,0.2,0.766829301177417,0.028261354157893784
0.1,0.0,0.4,0.5,0.7667314798524346,0.02197694394388782
0.0,0.5,0.4,0.1,0.7666641175505702,0.028427180045997626
0.0,0.2,0.6000000000000001,0.2,0.7663844697905072,0.028796118426938588
0.1,0.0,0.30000000000000004,0.6000000000000001,0.7663105981113663,0.022672574218161257
0.0,0.30000000000000004,0.4,0.30000000000000004,0.7662393193618813,0.02861344226987973
0.1,0.0,0.2,0.7000000000000001,0.7658486052332808,0.023587145795883897
0.0,0.4,0.2,0.4,0.7657879424803858,0.028309138482101922
0.0,0.1,0.8,0.1,0.765631416626319,0.028288247527783986
0.0,0.30000000000000004,0.0,0.7000000000000001,0.7654732220335988,0.026616342908601837
0.0,0.2,0.5,0.30000000000000004,0.7653400608009779,0.02831802861675998
0.1,0.0,0.0,0.9,0.7645440163681916,0.024835227141109615
0.0,0.30000000000000004,0.2,0.5,0.7641414890875813,0.02795491850184485
0.1,0.0,0.1,0.8,0.7639217028669305,0.024974883387272655
0.0,0.2,0.30000000000000004,0.5,0.7637109159276839,0.029792493147819434
0.0,0.2,0.4,0.4,0.7632502712149092,0.02922267861951072
0.0,0.30000000000000004,0.1,0.6000000000000001,0.7631005706161067,0.029130901475037024
0.0,0.1,0.7000000000000001,0.2,0.762644643564435,0.028837338344050834
0.0,0.2,0.0,0.8,0.7618316278645751,0.028046328950341776
0.0,0.2,0.2,0.6000000000000001,0.7617306504630259,0.029750881280251138
0.0,0.1,0.6000000000000001,0.30000000000000004,0.7614289741803331,0.02957769291429463
0.0,0.2,0.1,0.7000000000000001,0.7599088690762452,0.029453149481851595
0.0,0.1,0.5,0.4,0.7597684339667059,0.03049049868350457
0.0,0.1,0.4,0.5,0.757657219659227,0.030264703985669373
0.0,0.1,0.30000000000000004,0.6000000000000001,0.7558353525693513,0.029298591715371157
0.0,0.0,0.7000000000000001,0.30000000000000004,0.755627192813464,0.022173293394487457
0.0,0.0,0.6000000000000001,0.4,0.755627192813464,0.022173293394487457
0.0,0.0,0.8,0.2,0.755627192813464,0.022173293394487457
0.0,0.0,0.9,0.1,0.7554774922146615,0.022107085125666722
0.0,0.0,0.5,0.5,0.7554774922146615,0.022107085125666722
0.0,0.0,0.4,0.6000000000000001,0.7553277916158591,0.02204474467312297
0.0,0.0,0.30000000000000004,0.7000000000000001,0.7553277916158591,0.02204474467312297
0.0,0.0,0.2,0.8,0.7551780910170567,0.0219863049375548
0.0,0.0,0.1,0.9,0.7551780910170567,0.0219863049375548
0.0,0.0,0.0,1.0,0.7550283904182542,0.021931797100679277
0.0,0.1,0.0,0.9,0.7550212494848362,0.025791858879094014
0.0,0.1,0.2,0.7000000000000001,0.7549200913090317,0.028371203065207483
0.0,0.1,0.1,0.8,0.7546219982735376,0.028923955136029657
0.0,0.0,1.0,0.0,0.6975393043458593,0.10672410504313243
